alphaho,Alpha Fighter/Head On 
alphahob,Missile/Circuit 
alpham2,Alpha Mission II: Last Guardian 
alpham2p,Alpha Mission II: Last Guardian 
alphamis,Alpha Mission 
alphaone,Alpha One 
alphaonea,Alpha One 
alphatan,AlphaTantel 
alphatp1,alphatronic P1 
alphatp10,Alphatronic P10 
alphatp2,alphatronic P2 
alphatp2u,alphatronic P2U 
alphatp3,alphatronic P3 
alphatp30,alphatronic P30 
alphatp50,Alphatronic P50 
alphatpc16,alphatronic PC-16 
alphatro,Alphatronic PC 
alphatrob,Alphatronic PC w/BiCom Graphics 
alphatron,Alphatronic PC 
alphaxz,The Alphax Z 
alphie,Alphie: The Electronic Robot 
alpilot,Airline Pilots 
alpilotj,Airline Pilots 
alpine,Alpine Ski 
alpinea,Alpine Ski 
alpinerc,Alpine Racer 
alpinerd,Alpine Racer 
alpinerjc,Alpine Racer 
alpines,Alpine Surfer 
alpinesa,Alpine Surfer 
alpinr2a,Alpine Racer 2 
alpinr2b,Alpine Racer 2 
alpok_f6,Alien Poker 
alpok_l2,Alien Poker 
alpok_l6,Alien Poker 
altair,Altair 
altaten,Alta Tensione 
altbeast,Altered Beast 
altbeast2,Altered Beast 
altbeast4,Altered Beast 
altbeast5,Altered Beast 
altbeast5d,Altered Beast 
altbeast6,Altered Beast 
altbeastbl,Altered Beast 
altbeastbl2,Altered Beast 
altbeastj,Juuouki 
altbeastj1,Juuouki 
altbeastj3,Juuouki 
altbeastj3d,Juuouki 
alto1,Alto I 
alto2,Alto-II 
altos2,Altos II Terminal 
altos486,Altos 486 
altos5,Altos 5-15 
altos8600,ACS8600 
am100,AM100 
am1000,AM-1000 
am4,Acorn M4 
am64,AM 64 
am_mg24,Multi Game I 
am_mg24a,Multi Game I 
am_mg3,Multi Game III 
am_mg31i,Multi Game III 
am_mg33i,Multi Game III 
am_mg34i,Multi Game III 
am_mg35i,Multi Game III 
am_mg3a,Multi Game III 
am_mg4v,Multi Game IV 
am_mg5hu,Multi Game V 
amatelas,Sei Senshi Amatelass 
amazon,Soldier Girl Amazon 
amazonh,Amazon Hunt 
amazonh2,Amazon Hunt II 
amazonh3,Amazon Hunt III 
amazonh3a,Amazon Hunt III 
amazonha,Amazon Hunt 
amazoni2,Amazonia King II 
amazonia,Amazonia King 
amazonkp,Amazonia King Plus 
amazont,Soldier Girl Amazon 
amaztron,Amaze-A-Tron 
ambush,Ambush 
ambushh,Ambush 
ambushj,Ambush 
ambushv,Ambush 
amclink,Amcoe Link Control Box 
amerdart,AmeriDarts 
amerdart2,AmeriDarts 
amerdart3,AmeriDarts 
america,America 1492 
americna,Americana 
americnaa,Americana 
amerihok,Ameri-Hockey 
amhbattl,Acchi Muite Hoi Battle 
amibaby,Mark V Baby Screamer 
amico2k,Amico 2000 
